ID,Varga (Chapter),Sanskrit Name,Latin Name,Hindi Name,Gujarati Name,English Name,Rasa (Taste),Virya (Potency),Vipaka (Post-digest),Guna (Quality),Prabhava (Special Action),Vata Effect,Pitta Effect,Kapha Effect,Dosha Note,Key Benefits,Indications,Contraindications,Powder Dose,Timing,Anupana (Carrier),Key Formulations,Part Used,Active Compounds,Research Keywords,Special Note
herb_001,Haritakyadi Varga,Haritaki,Terminalia chebula,Harad,Hirda,Chebulic Myrobalan,"Madhura, Amla, Katu, Tikta, Kashaya",Ushna,Madhura,"Laghu, Ruksha",Rasayana,decreases,decreases,decreases,Tridoshahara,Best digestive herb | Relieves constipation | Improves eyesight | Anti-aging Rasayana | Detoxification | Improves memory | Treats skin diseases | Wound healing | Respiratory health,"Constipation, Indigestion, Piles, Worms, Cough, Asthma, Skin diseases, Eye diseases, Diabetes, Obesity",Pregnancy (use with caution) | Severe dehydration | Extreme emaciation,3-6g,Night with warm water,Warm water,"Triphala, Haritaki Churna, Abhaya Arishta, Agastya Rasayana",Fruit (dried),"Chebulinic acid, Tannic acid, Gallic acid, Chebulagic acid","antioxidant, antimicrobial, hepatoprotective, antidiabetic",Only herb with 5 of 6 tastes — lacks Lavana (salty)
herb_002,Haritakyadi Varga,Amalaki,Phyllanthus emblica,Amla,Amla,Indian Gooseberry,"Amla, Madhura, Katu, Tikta, Kashaya",Sheeta,Madhura,"Laghu, Ruksha",Best Pitta Rasayana,decreases,strongly decreases,decreases,Best Pitta-pacifying fruit,Highest natural Vitamin C | Anti-aging Rasayana | Hair growth | Eyesight | Immunity | Liver tonic | Reduces acidity | Blood purifier | Skin complexion,"Acidity, GERD, Hair fall, Premature greying, Anemia, Jaundice, Diabetes, High cholesterol",Avoid excess during active diarrhea,3-6g,Morning empty stomach,Water or honey,"Triphala, Chyawanprash, Amalaki Rasayana, Dhatri Lauha",Fruit,"Emblicanin A & B, Gallic acid, Ellagic acid, Stable Vitamin C","immunomodulatory, antioxidant, hepatoprotective",
herb_003,Haritakyadi Varga,Bibhitaka,Terminalia bellirica,Baheda,Baheda,Belleric Myrobalan,Kashaya,Ushna,Madhura,"Laghu, Ruksha",,decreases,decreases,strongly decreases,,Best herb for throat and voice | Expectorant | Treats cough and asthma | Hair health | Liver tonic | Anti-parasitic | Eye health,"Cough, Asthma, Bronchitis, Hair problems, Digestive issues, Hoarseness",,3-6g,Night with warm water,,"Triphala, Vibhitaka Churna, Sitopaladi Churna",Fruit,,,
herb_004,Guduchyadi Varga,Guduchi,Tinospora cordifolia,Giloy,Garo,Heart-leaved Moonseed / Giloy,"Tikta, Kashaya",Ushna,Madhura,"Laghu, Snigdha","Tridoshaghna, Jwarahara",decreases,decreases,decreases,Tridoshahara,Powerful immunomodulator | Adaptogen | Chronic fever | Liver detox | Diabetes | Anti-inflammatory | Anti-aging Rasayana | Autoimmune support,"Chronic fever, Diabetes, Liver disorders, Arthritis, Skin diseases, Low immunity, UTI, Dengue recovery",Autoimmune — consult doctor | Pregnancy | Avoid with immunosuppressants,3-6g,Morning empty stomach,,"Guduchi Satva, Guduchyadi Kashayam, Amritarishta, Samshamani Vati","Stem (main), leaves, roots","Tinosporin, Cordifolide, Giloin, Tinosporic acid","immunomodulatory, antidiabetic, hepatoprotective, antipyretic",
herb_005,Guduchyadi Varga,Ashwagandha,Withania somnifera,Asgandh,Asgandh,Indian Winter Cherry / Indian Ginseng,"Tikta, Kashaya, Madhura",Ushna,Madhura,"Laghu, Snigdha","Balya, Brimhana, Vajikarana",strongly decreases,neutral,mild increase in excess,Best herb for Vata and nervous system,Adaptogen — reduces cortisol | Muscle strength | Improves sleep | Thyroid support | Testosterone boost | Female fertility | Neuroprotective | Anti-inflammatory | Immune booster,"Stress, Anxiety, Insomnia, Low energy, Sexual debility, Muscle weakness, Underweight, Hypothyroidism, Arthritis",Pregnancy (large doses) | Hyperthyroidism — monitor | Avoid with sedatives | High Ama — purify first,3-6g,Night with warm milk,Warm milk with mishri,"Ashwagandhadi Churna, Ashwagandhadi Lehyam",Root (primary),"Withanolides, Withaferin A, Withanone, Sitoindosides","adaptogen, anxiolytic, testosterone, muscle recovery, neuroprotective",
herb_006,Guduchyadi Varga,Shatavari,Asparagus racemosus,Shatavar,Shatavar,Wild Asparagus,"Madhura, Tikta",Sheeta,Madhura,"Guru, Snigdha","Stanya, Shukrala",decreases,strongly decreases,mild increase,Primary female reproductive tonic,Female reproductive tonic | Increases breast milk | PMS management | Menopause relief | Improves fertility | Gastric ulcer healing | Immune booster | Anti-aging,"PMS, Menstrual disorders, PCOS, Menopause, Low breast milk, Infertility, Gastric ulcers, Acidity",Estrogen-sensitive conditions | Excess Kapha or obesity | Kidney disease (high dose),3-6g,Morning and evening with milk,Warm milk with honey,"Shatavari Kalpa, Shatavari Ghrita, Phalaghrita",Tuberous roots,"Shatvarins I-IV, Steroidal saponins, Isoflavones","galactagogue, adaptogen, antacid, immunomodulatory",
herb_007,Karpuradi Varga,Tulasi,Ocimum sanctum,Tulsi,Tulsi,Holy Basil,"Katu, Tikta",Ushna,Katu,"Laghu, Ruksha, Tikshna",,decreases,mild increase in excess,strongly decreases,,Adaptogen | Respiratory infections | Fever | Antimicrobial/antiviral | Blood sugar regulation | Heart health | Digestion | Dental health | Anti-inflammatory,"Cold, Cough, Fever, Asthma, Stress, Diabetes, Skin infections",Avoid seed oil in pregnancy | Long-term seed use affects male fertility,1-3g,,,"Tulasi Ark, Tulasi Tea, Dashmoolarishta","Leaves, seeds, roots","Eugenol, Rosmarinic acid, Ursolic acid","adaptogen, antimicrobial, antiviral, antidiabetic",
herb_008,Karpuradi Varga,Shunthi,Zingiber officinale,Sonth (dry) / Adrak (fresh),Sunth (dry) / Adu (fresh),Dry Ginger,Katu,Ushna,Madhura,"Laghu, Snigdha, Tikshna","Deepana, Pachana",decreases,mild increase,strongly decreases,,Best digestive stimulant | Removes Ama | Anti-nausea | Joint pain | Cough and cold | Improves circulation | Relieves bloating,"Indigestion, Nausea, Arthritis, Cold, Cough, Bloating, Ama disorders",Ulcers/hyperacidity in excess | High Pitta | Late pregnancy large doses,,Before meals,,"Trikatu, Sitopaladi, Dashamoola",Rhizome,"Gingerols, Shogaols, Zingerone","anti-nausea, anti-inflammatory, antioxidant, COX-2 inhibitor",
herb_009,Karpuradi Varga,Maricha,Piper nigrum,Kali Mirch,Kala Mari,Black Pepper,Katu,Ushna,Katu,"Laghu, Tikshna, Ruksha",,decreases,increases,strongly decreases,,Bioenhancer — 2000% increase in curcumin absorption | Respiratory infections | Digestive stimulant | Anti-parasitic | Metabolism boost,"Cough, Cold, Indigestion, Worms, Sinusitis, Obesity",Gastric ulcers | Hyperacidity | Skin inflammation,0.5-1g (in combination),,Water or honey,"Trikatu, Sitopaladi, Talisadi Churna",Fruit (dried),"Piperine, Piperidine, Chavicine","bioavailability enhancer, antioxidant, thermogenic",
herb_010,Karpuradi Varga,Pippali,Piper longum,Pipli,Pipali,Long Pepper,Katu,Anushna-Sheeta,Madhura,"Laghu, Snigdha, Tikshna",Anulomana,decreases,mild increase,strongly decreases,,Superior to black pepper for respiratory | Liver function | Kapha respiratory disorders | Anemia | Spleen disorders,"Chronic cough, Asthma, Anemia, Splenomegaly, Liver weakness",High Pitta | Pregnancy large doses,1-3g,,,"Trikatu, Sitopaladi, Pippali Rasayana, Chyawanprash",Fruit,"Piperine, Piperlonguminine","bioavailability, hepatoprotective, antiasthmatic",
